Customer ID,Account Length (in months),Local Calls,Local Mins,Intl Calls,Intl Mins,Intl Active,Intl Plan,Extra International Charges,Customer Service Calls,Avg Monthly GB Download,Unlimited Data Plan,Extra Data Charges,State,Phone Number,Gender,Age,Under 30,Senior,Group,Number of Customers in Group,Device Protection & Online Backup,Contract Type,Payment Method,Monthly Charge,Total Charges,Churn Category,Churn Reason,Churn
4444-BZPU,1,3,8,0,0,No,no,0,0,3,Yes,0,KS,382-4657,Female,35,No,No,No,0,No,Month-to-Month,Direct Debit,10,10,,,No
5676-PTZX,33,179,431.3,0,0,No,no,0,0,3,Yes,0,OH,371-7191,Male,49,No,No,No,0,Yes,One Year,Paper Check,21,703,,,No
8532-ZEKQ,44,82,217.6,0,0,No,yes,0,0,3,Yes,0,OH,375-9999,Male,51,No,No,No,0,Yes,One Year,Direct Debit,23,1014,,,No
1314-SMPJ,10,47,111.6,60,71,Yes,yes,0,0,2,Yes,0,MO,329-9001,Female,41,No,No,No,0,No,Month-to-Month,Paper Check,17,177,,,No
2956-TXCJ,62,184,621.2,310,694.4,Yes,yes,0,0,3,Yes,0,WV,330-8173,Male,51,No,No,No,0,No,One Year,Direct Debit,28,1720,,,No
9152-DEPY,17,68,120.7,0,0,No,no,0,0,0,No,0,RI,344-9403,Male,23,Yes,No,No,0,No,Two Year,Credit Card,9,156,,,No
1958-SDSO,57,428,849.2,0,0,No,no,0,0,5,Yes,0,IA,363-1107,Male,38,No,No,No,0,Yes,One Year,Credit Card,47,2671,,,No
8787-QZUC,25,54,203.7,0,0,No,no,0,0,12,Yes,0,IA,366-9238,Male,29,Yes,No,No,0,Yes,Month-to-Month,Direct Debit,47,1197,,,No
7768-OQJE,70,171,627.4,0,0,No,no,0,0,1,Yes,0,NY,351-7269,Female,47,No,No,No,0,Yes,Two Year,Credit Card,52,3593,,,No
7716-RHEB,50,206,445.8,0,0,No,no,0,0,0,No,0,ID,350-8884,Female,61,No,No,No,0,No,One Year,Paper Check,11,539,,,No
4139-EXJK,69,430,899.4,0,0,No,no,0,0,2,Yes,0,VT,386-2923,Male,59,No,No,No,0,Yes,Two Year,Direct Debit,67,4636,,,No
1133-QYCQ,21,85,227.6,0,0,No,no,0,0,18,No,20,TX,373-2782,Female,33,No,No,No,0,Yes,Month-to-Month,Direct Debit,56,1161,,,No
3423-EQRP,10,31,61.3,0,0,No,no,0,0,0,No,0,CO,393-7984,Male,44,No,No,No,0,No,One Year,Direct Debit,13,128,,,No
6070-AXDL,59,299,585.2,0,0,No,no,0,0,19,Yes,0,SC,350-2565,Female,27,Yes,No,No,0,No,Two Year,Credit Card,31,1795,,,No
1260-HOAY,28,36,110.7,0,0,No,no,0,0,7,Yes,0,NE,331-3698,Female,27,Yes,No,No,0,No,Month-to-Month,Direct Debit,22,602,,,No
4633-QIYZ,71,126,352.9,0,0,No,no,0,0,14,Yes,0,MO,353-2630,Male,35,No,No,No,0,Yes,Two Year,Credit Card,54,3779,,,No
7650-WQWA,70,128,351.2,0,0,No,no,0,0,4,Yes,0,IL,416-8428,Female,74,No,Yes,No,0,Yes,Two Year,Credit Card,52,3675,,,No
9039-LTDP,2,8,20.9,0,0,No,no,0,0,4,No,7,NH,370-3359,Male,76,No,Yes,No,0,Yes,One Year,Credit Card,55,104,,,No
9552-QCAO,28,158,311.7,0,0,No,no,0,0,4,Yes,0,LA,383-1121,Female,49,No,No,No,0,Yes,One Year,Credit Card,40,1122,,,No
8785-ENDQ,1,2,6,0,0,No,no,0,0,0,No,0,AZ,360-1596,Male,34,No,No,No,0,No,Month-to-Month,Direct Debit,11,11,,,No
0640-LNBK,1,2,7,0,0,No,no,0,0,4,Yes,0,OK,395-2854,Male,76,No,Yes,No,0,No,One Year,Direct Debit,29,29,,,No
4782-CHZM,73,162,435.5,0,0,No,no,0,0,7,Yes,0,GA,362-1407,Female,58,No,No,No,0,No,Two Year,Direct Debit,43,3121,,,No
1380-YANO,47,264,759,0,0,No,no,0,0,23,Yes,0,MA,353-3305,Female,21,Yes,No,No,0,Yes,Month-to-Month,Credit Card,41,1926,,,No
2754-HZFE,10,46,105.6,0,0,No,no,0,0,2,Yes,0,GA,372-9976,Male,51,No,No,No,0,No,One Year,Credit Card,27,262,,,No
4676-RXAH,70,187,422.5,1050,1022,Yes,yes,0,0,5,No,36,MD,383-6029,Female,56,No,No,No,0,No,Two Year,Credit Card,24,1676,,,No
6145-MBHF,20,40,141.1,0,0,No,no,0,0,0,No,0,AR,353-7289,Female,28,Yes,No,No,0,No,One Year,Credit Card,9,180,,,No
5992-ZZKY,61,229,487.1,0,0,No,no,0,0,6,Yes,0,ID,390-7274,Female,39,No,No,No,0,Yes,Two Year,Credit Card,52,3151,,,No
8539-DXRY,13,34,103,0,0,No,no,0,0,7,Yes,0,WI,352-1237,Female,41,No,No,No,0,No,Month-to-Month,Direct Debit,32,417,,,No
7420-TFLD,46,234,554.8,0,0,No,no,0,0,6,Yes,0,OR,353-3061,Female,53,No,No,No,0,No,Month-to-Month,Direct Debit,28,1316,,,No
0346-QDGF,2,10,17.7,0,0,No,no,0,0,24,Yes,0,MI,363-5450,Male,22,Yes,No,No,0,No,Month-to-Month,Credit Card,21,41,,,No
1564-AAIM,53,409,846.2,0,0,No,no,0,0,37,Yes,0,ID,398-1294,Male,25,Yes,No,No,0,No,Two Year,Credit Card,51,2680,,,No
8995-MKVE,66,204,397.9,0,0,No,no,0,0,3,No,16,WY,405-7146,Female,62,No,No,No,0,Yes,Two Year,Credit Card,35,2351,,,No
5708-KVWR,43,86,255.2,0,0,No,no,0,0,7,Yes,0,IA,413-4957,Female,69,No,Yes,No,0,No,One Year,Direct Debit,41,1761,,,No
6307-TNXU,25,72,227,0,0,No,no,0,0,1,Yes,0,VA,349-4396,Female,63,No,No,No,0,No,One Year,Credit Card,32,799,,,No
7343-GNPD,60,233,595.4,0,0,No,no,0,0,8,Yes,0,WY,353-3759,Female,77,No,Yes,No,0,Yes,One Year,Credit Card,44,2639,,,No
8190-LOMP,63,128,316.7,0,0,No,no,0,0,3,Yes,0,CO,340-5121,Female,43,No,No,No,0,No,One Year,Credit Card,47,2999,,,No
9766-ZUAF,65,241,456.7,0,0,No,no,0,0,2,Yes,0,CO,370-7574,Male,82,No,Yes,No,0,Yes,One Year,Direct Debit,64,4167,,,No
0521-NSRI,36,88,179.2,0,0,No,no,0,0,0,No,0,WI,403-9733,Female,59,No,No,No,0,No,Two Year,Credit Card,12,440,,,No
1260-SRKC,73,460,1022.8,0,0,No,no,0,0,7,No,33,OK,355-7251,Female,43,No,No,No,0,Yes,Two Year,Credit Card,37,2702,,,No
5130-MPZE,47,178,421.5,0,0,No,no,0,0,4,Yes,0,ID,359-5893,Female,33,No,No,No,0,Yes,Month-to-Month,Direct Debit,48,2254,,,No
7466-XCMA,61,107,242.5,0,0,No,no,0,0,13,Yes,0,CA,405-3371,Male,29,Yes,No,No,0,No,Month-to-Month,Direct Debit,45,2717,,,Yes
2267-OQZH,70,187,492.5,0,0,No,no,0,0,9,Yes,0,MN,344-5117,Male,35,No,No,No,0,Yes,Two Year,Direct Debit,24,1715,,,No
9314-HLWC,18,36,123.2,0,0,No,no,0,0,1,Yes,0,SD,332-8160,Female,46,No,No,No,0,Yes,One Year,Credit Card,19,342,,,No
5957-MTAG,3,6,16.2,0,0,No,no,0,0,5,Yes,0,WA,352-8305,Female,51,No,No,No,0,No,Month-to-Month,Direct Debit,46,149,,,No
6076-RCCT,46,300,740.2,184,427.8,Yes,yes,0,0,15,Yes,0,WY,329-9847,Male,35,No,No,No,0,No,One Year,Direct Debit,50,2325,,,No
0476-UFII,32,64,126.1,256,265.6,Yes,yes,0,0,9,No,32,MN,365-9011,Female,59,No,No,No,0,Yes,Two Year,Credit Card,30,960,,,No
9560-DMCL,46,118,369.6,0,0,No,no,0,0,0,No,0,UT,338-9472,Female,40,No,No,No,0,No,Two Year,Direct Debit,12,543,,,No
5297-BENZ,11,81,166.7,0,0,No,no,0,0,14,Yes,0,TX,374-8042,Male,29,Yes,No,No,0,Yes,Month-to-Month,Credit Card,48,537,,,No
8822-KJPV,1,4,14,0,0,No,no,0,0,3,Yes,0,NJ,359-1231,Male,42,No,No,No,0,No,Month-to-Month,Credit Card,27,27,,,No
5559-DOEH,53,228,695,0,0,No,no,0,0,0,No,0,MN,413-7170,Female,24,Yes,No,No,0,No,One Year,Direct Debit,7,372,,,No
0544-HTAB,64,94,254.4,0,0,No,no,0,0,5,Yes,0,NM,415-2935,Male,76,No,Yes,No,0,Yes,Two Year,Direct Debit,60,3811,,,No
1633-FVON,59,300,587.5,0,0,No,no,0,0,0,No,0,NV,399-4246,Male,39,No,No,No,0,No,Two Year,Direct Debit,11,674,,,No
1299-WYLC,56,168,500,0,0,No,no,0,0,10,Yes,0,MN,350-8921,Female,70,No,Yes,No,0,Yes,One Year,Direct Debit,61,3397,,,No
1712-GSRD,48,251,724.8,0,0,No,no,0,0,4,Yes,0,DC,374-5353,Female,54,No,No,No,0,No,One Year,Credit Card,30,1434,,,No
9518-SUYQ,28,108,282.4,0,0,No,no,0,0,1,Yes,0,MN,355-8887,Male,85,No,Yes,No,0,No,One Year,Direct Debit,28,796,,,No
2605-TOXT,47,116,281.8,0,0,No,no,0,0,0,No,0,MD,333-1967,Female,47,No,No,No,0,No,One Year,Credit Card,16,755,,,No
3733-EZWS,42,96,291.8,0,0,No,no,0,0,9,No,51,GA,411-1530,Female,37,No,No,No,0,Yes,Month-to-Month,Direct Debit,59,2452,,,No
6341-KAZD,48,96,289.8,0,0,No,no,0,0,0,No,0,TX,395-3026,Female,34,No,No,No,0,No,Two Year,Direct Debit,7,340,,,No
9484-NQCR,9,45,148,0,0,No,no,0,0,14,Yes,0,VT,388-6441,Male,29,Yes,No,No,0,No,Month-to-Month,Credit Card,47,439,,,No
6102-OALZ,36,248,534.7,0,0,No,no,0,0,6,Yes,0,IN,402-1251,Female,55,No,No,No,0,No,One Year,Direct Debit,22,786,,,No
9351-ELBM,51,292,767.8,0,0,No,no,0,0,0,No,0,WV,412-9997,Female,24,Yes,No,No,0,No,Two Year,Direct Debit,12,638,,,No
7023-YWYM,46,145,325.3,0,0,No,no,0,0,0,No,0,KY,346-7302,Female,60,No,No,No,0,No,Two Year,Credit Card,13,616,,,No
0993-JKUA,30,67,179.4,0,0,No,no,0,0,4,Yes,0,NJ,358-9095,Male,46,No,No,No,0,No,Month-to-Month,Credit Card,19,577,,,No
1629-PDTQ,1,3,7,0,0,No,no,0,0,0,Yes,0,LA,334-1275,Male,76,No,Yes,No,0,No,One Year,Direct Debit,42,42,,,No
